Aika,Signaali
1.257130836,-1.937268734
1.265034888,-2.068534851
1.272938941,-2.253165483
1.280842994,-2.380367517
1.288747047,-2.468335152
1.296681617,-2.572149754
1.304555152,-2.621280193
1.312428687,-2.632073402
1.320393775,-2.579962492
1.32826731,-2.796867847
1.336232398,-2.667485476
1.344105933,-2.624691725
1.351979469,-2.547686815
1.359944556,-2.515343428
1.367818092,-2.500186443
1.375752662,-2.589692354
1.383656715,-2.515165091
1.391560767,-2.489905357
1.399495338,-2.48195219
1.40739939,-2.44197607
1.415333961,-2.311733246
1.423207496,-2.151283026
1.431081031,-2.082068682
1.439046119,-1.996426821
1.446919654,-1.807633877
1.454854224,-1.667017221
1.46272776,-1.492396355
1.470631812,-1.230727911
1.478566383,-1.213984251
1.486439918,-1.340201855
1.494405006,-1.496952534
1.502339576,-1.49779129
1.510213111,-1.45592165
1.518147681,-1.417514324
1.526021217,-1.289897203
1.533955787,-1.231113672
1.541829322,-1.186337709
1.549702857,-0.8346352577
1.557667945,-0.6347904205
1.56554148,-0.6852650642
1.573476051,-0.3136410713
1.581349586,-0.1441755295
1.589223121,-0.1120004654
1.597127174,-0.07256698608
1.605031226,0.007999897003
1.612965797,0.08807039261
1.620839332,0.1736903191
1.628712867,0.2443237305
1.636677955,0.3760457039
1.64455149,0.4471549988
1.652516578,0.6393871307
1.660390113,0.7453589439
1.668294166,0.8052835464
1.676228736,0.757209301
1.684102271,0.6294131279
1.692036842,0.5398035049
1.699910377,0.4604616165
1.707783912,0.5260314941
1.715779517,0.764336586
1.72368357,0.6875462532
1.73161814,0.6486287117
1.739491676,0.4346818924
1.747365211,0.06605482101
1.755269263,-0.2366518974
1.763173316,-0.3966584206
1.771077369,-0.8980808258
1.778981422,-1.022770166
1.786885474,-1.331903458
1.794820045,-1.596257925
1.802724097,-1.744510651
1.81062815,-1.872665644
1.818562721,-1.958200693
1.826466773,-1.955300093
1.834431861,-2.003657103
1.842335914,-2.060486555
1.850270484,-2.084873915
1.858144019,-2.14688468
1.866017555,-2.178090811
1.873982642,-2.193812132
1.881856178,-2.164897919
1.889821265,-2.182137489
1.897725318,-2.193995476
1.905598853,-2.188126564
1.913502906,-2.150754929
1.921406959,-2.119340897
1.929311012,-2.094729424
1.937215064,-2.079968452
1.945119117,-2.077852249
1.953053687,-2.084535599
1.96095774,-2.07171154
1.968861793,-2.001142025
1.976765846,-1.942905664
1.984669898,-1.881409407
1.992604469,-1.80348897
2.000508521,-1.724628687
2.008443092,-1.63543272
2.016316627,-1.616456509
2.024190162,-1.535161972
